6/30/20,720
3/31/20,709
12/31/19,587
9/30/19,665
6/30/19,271
3/31/19,344
12/31/18,134
9/30/18,403
6/30/18,384
3/31/18,290
12/31/17,186
9/30/17,130
6/30/17,66
3/31/17,178
12/31/16,67
9/30/16,52
6/30/16,41
3/31/16,28
12/31/15,43
9/30/15,29
6/30/15,26
3/31/15,24
12/31/14,83
9/30/14,59
6/30/14,71
3/31/14,53
12/31/13,48
9/30/13,32
6/30/13,29
3/31/13,3
12/31/12,8
9/30/12,8
6/30/12,6
3/31/12,-5
12/31/11,35
9/30/11,62
6/30/11,68
3/31/11,60
12/31/10,47
9/30/10,38
6/30/10,44
3/31/10,32
12/31/09,31
9/30/09,30
6/30/09,32
3/31/09,22
12/31/08,23
9/30/08,20
6/30/08,27
3/31/08,13
12/31/07,16
9/30/07,16
6/30/07,25
3/31/07,10
12/31/06,15
9/30/06,13
6/30/06,17
3/31/06,4
12/31/05,38
9/30/05,7
6/30/05,6
3/31/05,-9
